ts_code,trade_date,total_mv,circ_mv
603633.SH,20260105,446444.1156,446444.1156
000404.SZ,20260105,477453.2416,475205.6264
688432.SH,20260105,1597885.7745,1597885.7745
000990.SZ,20260105,958822.4151,958821.705
301198.SZ,20260105,219700.0,202220.668
920718.BJ,20260105,140170.7182,66082.7172
002060.SZ,20260105,1355335.9604,564176.0923
600676.SH,20260105,610924.8087,610924.8087
300686.SZ,20260105,391718.2027,255064.9346
688055.SH,20260105,1223333.3578,1223333.3578
002119.SZ,20260105,633854.676,633854.676
000652.SZ,20260105,618265.444,617799.7284
300231.SZ,20260105,470948.7292,470924.5453
688247.SH,20260105,454246.68,454246.68
605488.SH,20260105,955265.4085,941538.0473
300412.SZ,20260105,272770.6371,256388.182
002877.SZ,20260105,330934.6364,223678.6264
301622.SZ,20260105,764107.0211,414045.1502
603056.SH,20260105,1417543.3893,1417543.3893
301196.SZ,20260105,1000298.385,994874.0942
300026.SZ,20260105,1081495.7413,985870.2521
002973.SZ,20260105,566819.2885,309140.212
688210.SH,20260105,836486.4179,836486.4179
300932.SZ,20260105,391487.1896,278836.415
688807.SH,20260105,1569520.0,294984.5351
300586.SZ,20260105,775937.3597,583244.7466
688107.SH,20260105,1125985.8719,1125985.8719
002767.SZ,20260105,338250.0,293597.6649
603863.SH,20260105,393951.25,393951.25
301600.SZ,20260105,1381800.67,426457.37
002139.SZ,20260105,1736841.1383,1491916.852
688297.SH,20260105,3324375.0,3324375.0
300503.SZ,20260105,1869703.6778,1461754.9505
920060.BJ,20260105,510870.0677,318609.5539
300817.SZ,20260105,459736.0934,263800.1988
300955.SZ,20260105,454910.4,454910.4
600038.SH,20260105,2981131.7225,2432248.4636
600128.SH,20260105,274351.583,268976.575
603698.SH,20260105,2058201.6,2058201.6
002730.SZ,20260105,549275.178,524927.328
002284.SZ,20260105,1111606.9234,1099746.1162
002537.SZ,20260105,1051919.0035,1047602.9715
600593.SH,20260105,547738.555,540831.2
000809.SZ,20260105,286202.5787,286202.5787
601882.SH,20260105,1014246.0,1014246.0
000564.SZ,20260105,4478399.7118,3649324.2368
000617.SZ,20260105,12085827.5995,12085827.5995
002578.SZ,20260105,426138.1031,390967.8027
300396.SZ,20260105,360782.313,360239.8936
002286.SZ,20260105,341368.9399,331488.2606
002574.SZ,20260105,298320.0,298320.0
300131.SZ,20260105,1670748.6819,1534217.7836
600829.SH,20260105,637877.4567,637877.4567
600380.SH,20260105,2142289.915,2142289.915
001225.SZ,20260105,414236.3052,132312.8434
301379.SZ,20260105,537439.3322,345201.3733
603191.SH,20260105,502185.998,498686.522
300343.SZ,20260105,647795.2861,646128.9497
300683.SZ,20260105,381426.2554,355696.3639
301182.SZ,20260105,403696.8221,403696.8221
600530.SH,20260105,499048.48,499048.48
603577.SH,20260105,357791.7505,357791.7505
920016.BJ,20260105,150499.6712,65958.7049
300022.SZ,20260105,379082.3715,379073.9728
603073.SH,20260105,222024.0,97408.9111
301013.SZ,20260105,671543.7999,543691.226
920964.BJ,20260105,175531.776,88944.158
300354.SZ,20260105,656882.6345,386134.5129
600455.SH,20260105,165513.7,165513.7
600525.SH,20260105,489267.4364,489267.4364
300633.SZ,20260105,1194286.2378,1194286.2378
603588.SH,20260105,1249052.2547,1249052.2547
002432.SZ,20260105,1902451.9853,1793743.369
603120.SH,20260105,351656.0,87914.0
301469.SZ,20260105,278014.36,143104.3343
688050.SH,20260105,1222501.4692,1222501.4692
300592.SZ,20260105,445201.9774,384121.2554
600684.SH,20260105,481142.3131,371255.4145
920378.BJ,20260105,153815.214,110157.0591
688012.SH,20260105,19493781.8428,19493781.8428
002815.SZ,20260105,1697537.2605,1083335.9675
688068.SH,20260105,1625170.1882,1625170.1882
002862.SZ,20260105,329280.0,247445.9154
600971.SH,20260105,748803.0476,748803.0476
300408.SZ,20260105,8936627.241,8718914.7833
600819.SH,20260105,762891.5123,609891.5107
300580.SZ,20260105,1302415.1367,1225056.9222
603086.SH,20260105,364808.227,364808.227
300103.SZ,20260105,256304.007,256091.1987
300992.SZ,20260105,256934.9721,208844.0446
002192.SZ,20260105,1414082.2355,1411168.7617
603982.SH,20260105,306708.3558,285224.9803
688373.SH,20260105,414998.2758,382974.4988
603022.SH,20260105,210200.0,210200.0
300009.SZ,20260105,1677538.8218,1233266.5515
300736.SZ,20260105,201112.7573,196635.5646
603079.SH,20260105,335716.6122,335716.6122
300681.SZ,20260105,796230.945,589767.5521
002560.SZ,20260105,520481.1843,448406.642
300299.SZ,20260105,510822.0629,510025.0829
688212.SH,20260105,612322.8918,612322.8918
002022.SZ,20260105,315809.8218,315749.9568
300236.SZ,20260105,2231902.345,1985093.459
300909.SZ,20260105,833729.7588,589057.2658
600622.SH,20260105,433409.0812,433409.0812
002726.SZ,20260105,447851.6859,447001.9734
600143.SH,20260105,5050961.4957,5050961.4957
301595.SZ,20260105,550062.4,123764.04
600569.SH,20260105,649167.2332,649167.2332
300962.SZ,20260105,436659.1376,436659.1376
688805.SH,20260105,734270.72,138021.0836
